design,model,run,MW,MolLogP,TPSA,HBD,arom_N,rot_bonds,SA_score,max_sim_exp,min_sim_exp,max_sim_internal,n_triazine_rings,n_pyridine_rings,dup_of_exp,crit_sim_exp_0.25_0.85,crit_logP_gt3
2,claude,4,585.1899999999999,9.425,64.18,0.1,2.4,19.7,3.7960000000000003,0.5131,0.0014,0.46159999999999995,0.2,1.3,0.0,1.0,1.0
2,claude,5,597.71,9.171,75.97,0.0,3.5,21.2,3.245,0.5336000000000001,0.006500000000000001,0.5292,0.4,1.5,0.0,1.0,1.0
2,claudescience,1,572.03,8.498000000000001,72.85,0.0,3.9,16.2,3.522,0.4842000000000001,0.0047,0.4631,0.3,1.5,0.0,1.0,1.0
2,claudescience,2,593.99,9.51,66.92,0.0,3.1,18.9,3.626,0.5284,0.0050999999999999995,0.5227,0.2,1.4,0.0,1.0,1.0
2,claudescience,3,589.0,9.736,64.4,0.0,3.0,20.7,3.44,0.5279,0.003,0.5159,0.3,1.3,0.0,1.0,1.0
2,claudescience,4,596.6899999999999,9.331999999999999,71.41,0.0,3.3,18.6,3.5460000000000003,0.5051,0.0036999999999999997,0.4805,0.4,1.6,0.0,1.0,1.0
2,claudescience,5,567.9,8.709999999999999,70.36,0.0,3.5,14.7,3.5140000000000002,0.5267999999999999,0.0026,0.5163,0.4,1.4,0.0,1.0,1.0
2,gemini,1,614.48,10.544,61.8,0.0,1.5,27.3,2.872,0.6772,0.0,0.6403000000000001,0.0,1.1,0.0,0.8,1.0
2,gemini,2,592.12,9.745000000000001,68.47999999999999,0.0,3.1,22.5,3.17,0.537,0.0014,0.5246000000000001,0.4,1.4,0.0,1.0,1.0
2,gemini,3,630.0,10.768,66.22,0.0,1.8,28.0,2.811,0.5932000000000001,0.0,0.5242,0.1,1.1,0.0,1.0,1.0
2,gemini,4,600.33,9.777,68.28999999999999,0.0,2.4,22.9,3.3579999999999997,0.507,0.0,0.42460000000000003,0.3,1.5,0.0,1.0,1.0
2,gemini,5,613.05,10.701,62.6,0.0,2.2,25.1,3.104,0.6431,0.0016,0.6384000000000001,0.0,1.5,0.1,0.9,1.0
3,chatgpt,1,499.02,7.32,65.49,0.2,2.6,16.9,2.856,0.2827,0.0925,0.38970000000000005,0.2,0.8,0.0,0.2,1.0
3,chatgpt,2,424.93,5.6659999999999995,59.120000000000005,0.1,1.2,15.2,2.4539999999999997,0.2254,0.0707,0.5374,0.0,1.0,0.0,0.3,1.0
3,chatgpt,3,429.82,5.662999999999999,67.12,0.0,2.7,14.2,2.5789999999999997,0.2928,0.0882,0.629,0.4,1.1,0.0,0.7,1.0
3,chatgpt,4,436.84,6.0729999999999995,60.6,0.0,2.2,13.7,2.715,0.2283,0.0843,0.41900000000000004,0.2,0.6,0.0,0.2,1.0
3,chatgpt,5,597.14,7.015000000000001,106.03,0.0,5.3,20.2,3.306,0.4396,0.1325,0.4723,1.4,1.1,0.0,1.0,1.0
3,claude,1,579.8100000000001,9.537,61.2,0.0,2.3,22.1,3.07,0.3724,0.0988,0.5418999999999999,0.2,1.2,0.0,0.9,1.0
3,claude,2,516.55,7.803999999999999,76.19,0.1,4.6,16.6,2.864,0.42939999999999995,0.1045,0.4157,0.5,1.5,0.0,0.8,1.0
3,claude,3,593.3,9.642,69.13,0.0,3.5,20.1,3.521,0.4223,0.0978,0.5345,0.4,1.5,0.0,0.9,1.0
3,claude,4,574.6899999999999,9.398,67.96000000000001,0.0,4.2,20.3,3.194,0.42560000000000003,0.09709999999999999,0.4003,0.5,1.3,0.0,0.9,1.0
3,claude,5,621.87,10.579,66.86,0.1,2.5,24.0,3.319,0.388,0.0994,0.5383,0.3,1.4,0.0,0.7,1.0
3,claudescience,1,542.31,8.639,63.75,0.0,3.4,18.5,3.157,0.3812,0.10369999999999999,0.47409999999999997,0.2,1.3,0.0,1.0,1.0
3,claudescience,2,551.24,8.653,64.72,0.0,3.0,17.0,3.632,0.3912,0.10669999999999999,0.5342,0.3,1.4,0.0,1.0,1.0
3,claudescience,3,529.58,8.136,70.57000000000001,0.1,4.0,14.9,3.335,0.47709999999999997,0.08549999999999999,0.4152,0.6,1.4,0.0,1.0,1.0
3,claudescience,4,577.6800000000001,9.221,69.76,0.1,3.0,20.5,3.1719999999999997,0.43279999999999996,0.10269999999999999,0.5393,0.5,1.3,0.0,1.0,1.0
3,claudescience,5,598.5899999999999,8.764999999999999,79.37,0.0,3.7,21.1,3.192,0.4048,0.1116,0.5175,0.4,1.5,0.0,1.0,1.0
3,gemini,1,503.46999999999997,7.845000000000001,68.18,0.0,3.6,18.5,2.78,0.3786,0.096,0.48629999999999995,0.3,1.3,0.0,0.8,1.0
3,gemini,2,531.51,8.036,73.65,0.2,3.3,19.1,2.709,0.45919999999999994,0.0875,0.5596,0.6,1.5,0.0,0.6,1.0
3,gemini,3,529.27,7.185,76.15,0.3,2.4,17.4,3.137,0.3559,0.0919,0.49379999999999996,0.3,1.5,0.0,0.9,0.9
3,gemini,4,548.0699999999999,8.817,56.080000000000005,0.0,1.2,22.0,2.795,0.3303,0.06670000000000001,0.6464000000000001,0.0,1.2,0.0,0.8,1.0
3,gemini,5,542.83,8.053,83.66,0.0,4.8,20.9,2.741,0.5799,0.0853,0.5937,1.2,1.0,0.0,0.7,1.0
4,chatgpt,1,558.72,7.255,103.1,0.0,8.0,8.9,3.188,0.5074,0.0541,0.47729999999999995,2.0,2.0,0.0,1.0,1.0
4,chatgpt,2,595.2,8.389,103.1,0.0,8.0,11.2,3.1390000000000002,0.5001,0.0655,0.5406,2.0,2.0,0.0,1.0,1.0
4,chatgpt,3,578.42,8.178,101.45,0.0,7.8,15.7,3.1799999999999997,0.7451000000000001,0.0964,0.6472,2.0,1.8,0.0,0.7,1.0
4,chatgpt,4,571.29,8.184000000000001,99.22999999999999,0.0,7.7,9.6,3.412,0.5232,0.0653,0.45549999999999996,2.0,1.7,0.0,0.9,1.0
4,chatgpt,5,557.5699999999999,7.4239999999999995,103.1,0.0,8.0,11.1,3.303,0.47729999999999995,0.07680000000000001,0.4974,2.0,2.0,0.0,1.0,1.0
4,claude,1,639.0899999999999,9.312999999999999,102.66,0.1,7.8,10.2,3.8519999999999994,0.6003999999999999,0.06420000000000001,0.414,1.9,1.9,0.0,1.0,1.0
4,claude,2,621.5899999999999,9.392,99.80999999999999,0.2,7.7,12.3,3.571,0.5815,0.0827,0.38380000000000003,1.8,1.9,0.0,1.0,1.0
4,claude,3,577.0,7.703999999999999,103.1,0.0,8.0,6.6,3.428,0.7147,0.0516,0.5138,2.0,2.0,0.1,0.8,1.0
4,claude,4,594.8199999999999,8.029,104.95,0.0,8.0,7.0,3.6670000000000003,0.6197,0.0475,0.4255,2.0,2.0,0.0,1.0,1.0
4,claude,5,578.38,7.704000000000001,101.55,0.1,7.7,7.5,3.3880000000000003,0.6447999999999999,0.06920000000000001,0.4795,1.9,1.8,0.1,0.9,1.0
4,claudescience,1,659.6,9.678,101.80999999999999,0.0,7.9,5.7,3.9480000000000004,0.5593,0.0314,0.4829,2.0,1.9,0.0,1.0,1.0
4,claudescience,2,622.6800000000001,8.857000000000001,103.1,0.0,8.0,9.9,3.603,0.6168,0.06999999999999999,0.4546,2.0,2.0,0.0,1.0,1.0
4,claudescience,3,617.55,8.554,104.38999999999999,0.0,8.1,4.6,3.832,0.5981,0.028699999999999996,0.5205,2.0,2.1,0.0,1.0,1.0
4,claudescience,4,653.12,9.581,103.1,0.0,8.0,8.9,3.754,0.6212,0.055600000000000004,0.5133,2.0,2.0,0.0,1.0,1.0
4,claudescience,5,645.89,8.754999999999999,107.53,0.0,8.2,5.8,4.186999999999999,0.5956,0.037,0.48369999999999996,2.0,1.8,0.0,1.0,1.0
4,gemini,1,638.9,9.214,106.78999999999999,0.0,8.0,16.6,3.2019999999999995,0.6660999999999999,0.0859,0.5294000000000001,2.0,2.0,0.0,0.7,1.0
4,gemini,2,579.9100000000001,7.824,105.5,0.0,7.9,13.9,3.027,0.6399,0.0581,0.6028,2.0,1.9,0.0,0.7,0.8
4,gemini,3,645.35,10.001999999999999,103.1,0.0,8.0,19.1,3.214,0.7418,0.0991,0.6432,2.0,2.0,0.1,0.6,1.0
4,gemini,4,616.4300000000001,9.674000000000001,96.65,0.0,7.5,18.5,3.174,0.7212,0.0888,0.6849999999999999,2.0,1.5,0.0,0.6,1.0
4,gemini,5,657.17,10.312999999999999,103.1,0.0,8.0,18.7,3.2299999999999995,0.7398,0.0872,0.6542,2.0,2.0,0.0,0.5,1.0
