name,canonical_smiles,formula,MW,MolLogP,TPSA,HBD,arom_N,rot_bonds,SA_score,max_sim_exp,min_sim_exp,dup_of_exp,max_sim_internal,crit_sim_exp_0.25_0.85,crit_logP_gt3,n_triazine_rings,n_pyridine_rings,model,design,run
chatgpt_d1_r3_09,CC(C)(C)Cc1cc(-c2cccnc2-c2cccc(-c3nnc(CC(C)(C)C)c(CC(C)(C)C)n3)n2)n[nH]1,C31H41N7,511.7,7.15,93.1,1,7,6,3.37,0.529,0.0,False,0.824,True,True,1,2,chatgpt,1,3
chatgpt_d1_r3_10,CC(C)Cc1nnc(-c2cccc(-c3ncccc3-c3nnc(CC(C)C)c(CC(C)C)n3)n2)nc1CC(C)C,C32H42N8,538.7,6.64,103.1,0,8,11,3.32,0.435,0.0,False,0.596,True,True,2,2,chatgpt,1,3
chatgpt_d1_r4_01,CC(C)(C)Cc1cc(-c2cc(-c3ccccc3)cc(-c3cc(CC(C)(C)C)[nH]n3)n2)n[nH]1,C27H33N5,427.6,6.71,70.2,2,5,5,2.97,0.703,0.0,False,0.0,True,True,0,1,chatgpt,1,4
chatgpt_d1_r4_02,CCCCCc1cc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)n[nH]1,C31H41N7,511.7,7.58,93.1,1,7,15,2.99,0.738,0.0,False,0.333,True,True,1,2,chatgpt,1,4
chatgpt_d1_r4_03,c1cc(-c2cc(CC3CCCCC3)[nH]n2)nc(-c2cc(CC3CCCCC3)[nH]n2)c1,C25H33N5,403.6,6.11,70.2,2,5,6,2.82,0.512,0.015,False,0.389,True,True,0,1,chatgpt,1,4
chatgpt_d1_r4_04,CCCCCc1cc(-c2cccc(-c3cc(CCCCC)[nH]n3)n2)n[nH]1,C21H29N5,351.5,5.33,70.2,2,5,10,2.65,0.711,0.0,False,0.738,True,True,0,1,chatgpt,1,4
chatgpt_d1_r4_05,CCCc1nnc(-c2cc(C)cc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,C24H33N7,419.6,4.9,90.2,0,7,10,3.05,0.667,0.0,False,0.429,True,True,2,1,chatgpt,1,4
chatgpt_d1_r4_06,CCCc1nnc(-c2cc(Cl)cc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,C23H30ClN7,440.0,5.25,90.2,0,7,10,3.13,0.647,0.0,False,0.727,True,True,2,1,chatgpt,1,4
chatgpt_d1_r4_07,CCCc1nnc(-c2cc(-c3ccccc3)cc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,C29H35N7,481.6,6.26,90.2,0,7,11,2.97,0.686,0.0,False,0.667,True,True,2,1,chatgpt,1,4
chatgpt_d1_r4_08,CC(C)(C)c1cc(-c2cc(CC3CCCCC3)[nH]n2)nc(-c2cc(CC3CCCCC3)[nH]n2)c1,C29H41N5,459.7,7.4,70.2,2,5,6,3.0,0.413,0.024,False,0.683,True,True,0,1,chatgpt,1,4
chatgpt_d1_r4_09,CCCc1nnc(-c2cc(C(C)(C)C)cc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,C27H39N7,461.7,5.89,90.2,0,7,10,3.13,0.611,0.0,False,0.686,True,True,2,1,chatgpt,1,4
chatgpt_d1_r4_10,CCCc1nnc(-c2cc(C(C)C)cc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,C26H37N7,447.6,5.72,90.2,0,7,11,3.15,0.611,0.0,False,0.686,True,True,2,1,chatgpt,1,4
chatgpt_d1_r5_01,CCCCc1nnc(-c2cccc(-c3nnc(CCC)c(CC(C)C)n3)n2)nc1CC(C)C,C26H37N7,447.6,5.48,90.2,0,7,11,3.1,0.684,0.0,False,0.0,True,True,2,1,chatgpt,1,5
chatgpt_d1_r5_02,CC(C)Cc1nnc(-c2cccc(-c3nnc(CC(C)C)c(CC(C)C)n3)n2)nc1CC(C)C,C27H39N7,461.7,5.58,90.2,0,7,10,3.05,0.588,0.0,False,0.711,True,True,2,1,chatgpt,1,5
chatgpt_d1_r5_03,CCC(C)c1nnc(-c2cccc(-c3nnc(C(C)CC)c(C(C)CC)n3)n2)nc1C(C)CC,C27H39N7,461.7,6.84,90.2,0,7,10,4.28,0.636,0.0,False,0.5,True,True,2,1,chatgpt,1,5
chatgpt_d1_r5_04,CCCCc1nnc(-c2ccnc(-c3nnc(CCCC)c(CCCC)n3)c2)nc1CCCC,C27H39N7,461.7,6.16,90.2,0,7,14,3.03,0.535,0.0,False,0.469,True,True,2,1,chatgpt,1,5
chatgpt_d1_r5_05,CC(C)Cc1nnc(-c2ccnc(-c3nnc(CC(C)C)c(CC(C)C)n3)c2)nc1CC(C)C,C27H39N7,461.7,5.58,90.2,0,7,10,3.19,0.333,0.0,False,0.605,True,True,2,1,chatgpt,1,5
chatgpt_d1_r5_06,CCCc1nnc(-c2ccc(-c3ccc(-c4nnc(CCC)c(CCC)n4)cc3)cc2)nc1CCC,C30H36N6,480.7,6.87,77.3,0,6,11,2.56,0.625,0.0,False,0.5,True,True,2,0,chatgpt,1,5
chatgpt_d1_r5_07,CC(C)Cc1nnc(-c2ccc(-c3nnc(C(C)C)c(C(C)C)n3)cc2)nc1CC(C)C,C26H36N6,432.6,6.03,77.3,0,6,8,2.97,0.462,0.0,False,0.538,True,True,2,0,chatgpt,1,5
chatgpt_d1_r5_08,CCCCc1nnc(-c2cc(C)nc(-c3nnc(CCCC)c(CCCC)n3)c2)nc1CCCC,C28H41N7,475.7,6.46,90.2,0,7,14,3.08,0.512,0.0,False,0.643,True,True,2,1,chatgpt,1,5
chatgpt_d1_r5_09,CC(C)(C)Cc1nnc(-c2cccc(-c3nnc(CC(C)(C)C)c(CC(C)(C)C)n3)n2)nc1CC(C)(C)C,C31H47N7,517.8,7.14,90.2,0,7,6,3.27,0.588,0.0,False,0.556,True,True,2,1,chatgpt,1,5
chatgpt_d1_r5_10,CCCc1nnc(-c2ccc3ccnc(-c4nnc(CCC)c(CCC)n4)c3c2)nc1CCC,C27H33N7,455.6,5.75,90.2,0,7,10,3.08,0.444,0.0,False,0.575,True,True,2,1,chatgpt,1,5
chatgpt_d2_01,CCCCCCN(CCCCCC)C(=O)c1cccc(C(=O)N(CCCCCC)CCCCCC)n1,C31H55N3O2,501.8,8.29,53.5,0,1,22,2.39,0.722,0.0,False,0.0,True,True,0,1,chatgpt,2,1
chatgpt_d2_02,CCCCN(CCCC)C(=O)c1cc(OC)cc(C(=O)N(CCCC)CCCC)n1,C24H41N3O3,419.6,5.18,62.7,0,1,15,2.47,0.55,0.0,False,0.55,True,True,0,1,chatgpt,2,1
chatgpt_d2_03,CCCCCCP(=O)(CCCCCC)Cc1cccc(CP(=O)(CCCCCC)CCCCCC)n1,C31H59NO2P2,539.8,11.13,47.0,0,1,24,3.12,0.579,0.0,False,0.372,True,True,0,1,chatgpt,2,1
chatgpt_d2_04,CCCCP(=O)(CCCC)Cc1cc(C(C)C)cc(CP(=O)(CCCC)CCCC)n1,C26H49NO2P2,469.6,9.13,47.0,0,1,17,3.51,0.378,0.0,False,0.538,True,True,0,1,chatgpt,2,1
chatgpt_d2_05,CCCCCCP(=O)(CCCCCC)Cc1cccc(-c2ccccn2)n1,C23H35N2OP,386.5,7.17,42.9,0,2,13,2.71,0.458,0.0,False,0.7,True,True,0,2,chatgpt,2,1
chatgpt_d2_06,CCCCC(CC)P(=O)(Cc1cccc(-c2ccccn2)n1)CC(CC)CCC,C25H39N2OP,414.6,7.8,42.9,0,2,13,3.94,0.319,0.0,False,0.554,True,True,0,2,chatgpt,2,1
chatgpt_d2_07,CCCCCCN(CCCCCC)C(=O)c1cccc(CP(=O)(CCCCCC)CCCCCC)n1,C31H57N2O2P,520.8,9.71,50.3,0,1,23,2.9,0.542,0.0,False,0.674,True,True,0,1,chatgpt,2,1
chatgpt_d2_08,CCCCCCN(CCCCCC)C(=O)Cc1nnc(-c2ccccn2)nc1CCCC,C26H41N5O,439.6,5.81,71.9,0,4,16,2.67,0.463,0.0,False,0.393,True,True,1,1,chatgpt,2,1
chatgpt_d2_09,CCCCc1nc(-c2ccccn2)nnc1CP(=O)(CCCC)CCCC,C21H33N4OP,388.5,5.74,68.6,0,4,12,3.05,0.48,0.0,False,0.569,True,True,1,1,chatgpt,2,1
chatgpt_d2_10,CCCCCCP(=O)(CCCCCC)Cc1ccc(-c2cccc(-c3ccccn3)n2)nc1,C28H38N3OP,463.6,8.23,55.7,0,3,14,2.82,0.423,0.0,False,0.708,True,True,0,3,chatgpt,2,1
chatgpt_d2_r2_01,CCCCN(CCCC)C(=O)c1cccc(-c2nnc(CCC)c(CCC)n2)n1,C23H35N5O,397.6,4.88,71.9,0,4,12,2.7,0.591,0.0,False,0.0,True,True,1,1,chatgpt,2,2
chatgpt_d2_r2_02,CCCCCCN(CCCCCC)C(=O)c1cccc(-c2nnc(CCCC)c(CCCC)n2)n1,C29H47N5O,481.7,7.22,71.9,0,4,18,2.77,0.583,0.0,False,0.833,True,True,1,1,chatgpt,2,2
chatgpt_d2_r2_03,CCCCC(CC)CN(CC(CC)CCCC)C(=O)c1cccc(-c2nnc(C(C)C)c(C(C)C)n2)n1,C31H51N5O,509.8,8.06,71.9,0,4,16,3.8,0.471,0.0,False,0.5,True,True,1,1,chatgpt,2,2
chatgpt_d2_r2_04,CCCCCCCCN(C)C(=O)c1cccc(-c2nnc(CCCCC)c(CCCCC)n2)n1,C28H45N5O,467.7,6.83,71.9,0,4,17,2.73,0.604,0.0,False,0.784,True,True,1,1,chatgpt,2,2
chatgpt_d2_r2_05,CCCCN(CCCC)C(=O)c1cc(C(C)C)cc(-c2nnc(CC)c(CC)n2)n1,C24H37N5O,411.6,5.22,71.9,0,4,11,2.85,0.407,0.0,False,0.534,True,True,1,1,chatgpt,2,2
chatgpt_d2_r2_06,CCCCN(CCCC)C(=O)c1cccc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)n1,C28H38N6O,474.7,5.94,84.8,0,5,13,2.85,0.6,0.0,False,0.956,True,True,1,2,chatgpt,2,2
chatgpt_d2_r2_07,CCCCCCN(CCCCCC)C(=O)c1cccc(-c2cccc(-c3nnc(CCCC)c(CCCC)n3)n2)n1,C34H50N6O,558.8,8.28,84.8,0,5,19,2.95,0.625,0.0,False,0.957,True,True,1,2,chatgpt,2,2
chatgpt_d2_r2_08,CCCCCCCCN(C)C(=O)c1cccc(-c2cccc(-c3nnc(C(C)C)c(C(C)C)n3)n2)n1,C29H40N6O,488.7,6.67,84.8,0,5,12,2.88,0.51,0.0,False,0.667,True,True,1,2,chatgpt,2,2
chatgpt_d2_r2_09,CCCCC(CC)CN(CC(=O)N(CCCC)CCCC)CC(=O)N(CCCC)CCCC,C28H57N3O2,467.8,6.36,43.9,0,0,22,3.05,0.818,0.0,False,0.328,True,True,0,0,chatgpt,2,2
chatgpt_d2_r2_10,CCCCN(CCCC)C(=O)c1cccc(-c2ccccn2)n1,C19H25N3O,311.4,4.19,46.1,0,2,8,2.15,0.583,0.0,False,0.596,True,True,0,2,chatgpt,2,2
chatgpt_d2_r3_01,CCCCCCN(CCCCCC)C(=O)c1cccc(-c2nnc(CCC)c(CCC)n2)n1,C27H43N5O,453.7,6.44,71.9,0,4,16,2.74,0.565,0.0,False,0.0,True,True,1,1,chatgpt,2,3
chatgpt_d2_r3_02,CC(C)Cc1nnc(-c2cccc(C(=O)N(CC(C)C)CC(C)C)n2)nc1CC(C)C,C25H39N5O,425.6,5.08,71.9,0,4,10,2.89,0.388,0.0,False,0.526,True,True,1,1,chatgpt,2,3
chatgpt_d2_r3_03,CCCCP(=O)(CCCC)c1cccc(-c2nnc(CCC)c(CCC)n2)n1,C22H35N4OP,402.5,5.43,68.6,0,4,12,3.27,0.634,0.0,False,0.518,True,True,1,1,chatgpt,2,3
chatgpt_d2_r3_04,CCCCCCC(=O)c1cccc(-c2nnc(CCC)c(CCC)n2)n1,C21H30N4O,354.5,4.99,68.6,0,4,11,2.64,0.605,0.0,False,0.706,True,True,1,1,chatgpt,2,3
chatgpt_d2_r3_05,CCCCCN(CC(=O)N(CC(C)CC)CC(C)CC)CC(=O)N(CC(C)CC)CC(C)CC,C29H59N3O2,481.8,6.32,43.9,0,0,20,3.86,0.636,0.0,False,0.23,True,True,0,0,chatgpt,2,3
chatgpt_d2_r3_06,CCCCN(CCCC)C(=O)CN(CC(=O)N(CCCC)CCCC)Cc1cccc(C)n1,C27H48N4O2,460.7,5.05,56.8,0,1,18,2.6,0.522,0.0,False,0.34,True,True,0,1,chatgpt,2,3
chatgpt_d2_r3_07,CCCCN(CCCC)C(=O)CN(CC(=O)N(CCCC)CCCC)Cc1ccc2cccnc2c1,C30H48N4O2,496.7,5.89,56.8,0,1,18,2.61,0.52,0.0,False,0.509,True,True,0,1,chatgpt,2,3
chatgpt_d2_r3_08,CCCCCCN(CCCCCC)C(=O)CN(CCCC)Cc1nnc(CCCC)c(CCCC)n1,C30H57N5O,503.8,7.15,62.2,0,3,23,2.88,0.535,0.0,False,0.436,True,True,1,0,chatgpt,2,3
chatgpt_d2_r3_09,CCCCN(CCCC)C(=O)c1cccc(-c2ccccn2)n1,C19H25N3O,311.4,4.19,46.1,0,2,8,2.15,0.583,0.0,False,0.537,True,True,0,2,chatgpt,2,3
chatgpt_d2_r3_10,CCCCN(CCCC)C(=O)c1cc(C(C)(C)C)cc(-c2cc(C(C)(C)C)cc(C(=O)N(CCCC)CCCC)n2)n1,C36H58N4O2,578.9,8.82,66.4,0,2,15,2.88,0.512,0.0,False,0.49,True,True,0,2,chatgpt,2,3
chatgpt_d2_r4_01,CCCCC(CC)CN(CC(=O)N(CC(C)C)CC(C)C)CC(=O)N(CC(C)C)CC(C)C,C28H57N3O2,467.8,5.79,43.9,0,0,18,3.22,0.848,0.0,False,0.0,True,True,0,0,chatgpt,2,4
chatgpt_d2_r4_02,CCCCC(CC)CN(CC(=O)N(CCCC)CCCC)CC(=O)N(CCCC)CCCC,C28H57N3O2,467.8,6.36,43.9,0,0,22,3.05,0.818,0.0,False,0.75,True,True,0,0,chatgpt,2,4
chatgpt_d2_r4_03,CCCCN(CCCC)C(=O)c1cccc(C(=O)N(CCCC)CCCC)n1,C23H39N3O2,389.6,5.17,53.5,0,1,14,2.36,0.706,0.0,False,0.311,True,True,0,1,chatgpt,2,4
chatgpt_d2_r4_04,CC(C)CN(CC(C)C)C(=O)c1cc(C(C)(C)C)cc(C(=O)N(CC(C)C)CC(C)C)n1,C27H47N3O2,445.7,5.89,53.5,0,1,10,2.78,0.37,0.0,False,0.341,True,True,0,1,chatgpt,2,4
chatgpt_d2_r4_05,CCCCN(CCCC)C(=O)c1cccc(CP(=O)(CCCC)CCCC)n1,C23H41N2O2P,408.6,6.59,50.3,0,1,15,2.86,0.522,0.0,False,0.659,True,True,0,1,chatgpt,2,4
chatgpt_d2_r4_06,CCCCN(CCCC)C(=O)c1cccc(-c2ncccc2C(=O)N(CCCC)CCCC)n1,C28H42N4O2,466.7,6.23,66.4,0,2,15,2.58,0.569,0.0,False,0.628,True,True,0,2,chatgpt,2,4
chatgpt_d2_r4_07,CC(C)N(C(=O)c1ccc(C(C)(C)C)c(-c2ncc(C(C)(C)C)cc2C(=O)N(C(C)C)C(C)C)n1)C(C)C,C32H50N4O2,522.8,7.26,66.4,0,2,7,3.18,0.279,0.0,False,0.339,True,True,0,2,chatgpt,2,4
chatgpt_d2_r4_08,CCN(CC)C(=O)c1ccc2ccc3ccc(C(=O)N(CC)CC)nc3c2n1,C22H26N4O2,378.5,3.75,66.4,0,2,6,2.43,0.765,0.0,False,0.459,True,True,0,2,chatgpt,2,4
chatgpt_d2_r4_09,CC(C)N(C(=O)c1ccc2ccc3ccc(C(=O)N(C(C)C)C(C)C)nc3c2n1)C(C)C,C26H34N4O2,434.6,5.3,66.4,0,2,6,2.68,0.514,0.0,False,0.576,True,True,0,2,chatgpt,2,4
chatgpt_d2_r4_10,CCOP(=O)(CC)c1cccc(P(=O)(CC)CC)n1,C13H23NO3P2,303.3,3.07,56.3,0,1,7,4.23,0.4,0.0,False,0.244,True,True,0,1,chatgpt,2,4
chatgpt_d2_r5_01,CCCCCCCN(CC(=O)N(CC(C)C)CC(C)C)CC(=O)N(CC(C)C)CC(C)C,C27H55N3O2,453.8,5.54,43.9,0,0,18,2.56,0.71,0.0,False,0.0,True,True,0,0,chatgpt,2,5
chatgpt_d2_r5_02,CC(C)CCN(CCC(C)C)C(=O)CN(CCC(C)(C)C)CC(=O)N(CCC(C)C)CCC(C)C,C30H61N3O2,495.8,6.57,43.9,0,0,18,2.75,0.486,0.0,False,0.45,True,True,0,0,chatgpt,2,5
chatgpt_d2_r5_03,CCCCCCCCN(C)C(=O)CN(CCCCCC)CC(=O)N(C)CCCCCCCC,C28H57N3O2,467.8,6.51,43.9,0,0,23,2.29,0.69,0.0,False,0.588,True,True,0,0,chatgpt,2,5
chatgpt_d2_r5_04,CCCCN(CCCC)C(=O)CN(CC(=O)N(CCCC)CCCC)Cc1ccccc1C(C)C,C30H53N3O2,487.8,6.47,43.9,0,0,19,2.6,0.556,0.0,False,0.404,True,True,0,0,chatgpt,2,5
chatgpt_d2_r5_05,CC(C)CCN(CC(C)C)C(=O)c1cc(C(C)(C)C)cc(C(=O)N(CC(C)C)CC(C)C)n1,C28H49N3O2,459.7,6.28,53.5,0,1,11,2.82,0.341,0.0,False,0.354,True,True,0,1,chatgpt,2,5
chatgpt_d2_r5_06,CCCCN(CCCC)C(=O)c1cc(-c2ccccc2)cc(C(=O)N(CCCC)CCCC)n1,C29H43N3O2,465.7,6.83,53.5,0,1,15,2.47,0.561,0.0,False,0.365,True,True,0,1,chatgpt,2,5
chatgpt_d2_r5_07,CCCCN(CCCC)C(=O)c1cc(-c2ccccn2)cc(C(=O)N(CCCC)CCCC)n1,C28H42N4O2,466.7,6.23,66.4,0,2,15,2.6,0.54,0.0,False,0.698,True,True,0,2,chatgpt,2,5
chatgpt_d2_r5_08,CCCCN(CCCC)C(=O)c1cccc(-c2cccc(C(=O)N(CCCC)CCCC)n2)n1,C28H42N4O2,466.7,6.23,66.4,0,2,15,2.5,0.649,0.0,False,0.591,True,True,0,2,chatgpt,2,5
chatgpt_d2_r5_09,CC(C)CCN(CC(C)C)C(=O)c1cccc(-c2cccc(C(=O)N(CC(C)C)CC(C)C)n2)n1,C29H44N4O2,480.7,6.04,66.4,0,2,12,2.74,0.457,0.0,False,0.578,True,True,0,2,chatgpt,2,5
chatgpt_d2_r5_10,CCCCCCCCP(=O)(Cc1ccccn1)Cc1ccccn1,C20H29N2OP,344.4,5.9,42.9,0,2,11,2.65,0.465,0.0,False,0.315,True,True,0,2,chatgpt,2,5
chatgpt_d3_01,CCCCCCCCN(C(=O)Cc1ccccn1)C(=O)Cc1ccccn1,C22H29N3O2,367.5,3.98,63.2,0,2,11,2.44,0.222,0.079,False,0.0,False,True,0,2,chatgpt,3,1
chatgpt_d3_02,CC(C)CCCC(C)CN(CC(C)CCCC(C)C)C(=O)c1cccc(C(=O)N(CC(C)CCCC(C)C)CC(C)CCCC(C)C)n1,C43H79N3O2,670.1,11.82,53.5,0,1,26,4.11,0.216,0.082,False,0.214,False,True,0,1,chatgpt,3,1
chatgpt_d3_03,CCCCCCCCOc1ccc(-c2cnc(C(=O)N(CCCCC)CCCCC)cn2)cc1,C29H45N3O2,467.7,7.71,55.3,0,2,18,2.36,0.194,0.086,False,0.322,False,True,0,0,chatgpt,3,1
chatgpt_d3_04,CCCCCCc1nnc(-c2cccc(C(=O)N(CCCCCC)CCCCCC)n2)nc1CCCCCC,C33H55N5O,537.8,8.78,71.9,0,4,22,2.83,0.617,0.147,False,0.397,True,True,1,1,chatgpt,3,1
chatgpt_d3_05,CCCCN(CCCC)C(=O)COCc1cnc(-c2cc(C(C)(C)C)cc(C(C)(C)C)c2)cn1,C29H45N3O2,467.7,6.68,55.3,0,2,11,2.74,0.185,0.062,False,0.358,False,True,0,0,chatgpt,3,1
chatgpt_d3_06,CCCCCCCCP(=O)(c1ccccc1)c1cccc(C(=O)N(CCCC)CCCC)n1,C28H43N2O2P,470.6,6.8,50.3,0,1,16,3.23,0.226,0.083,False,0.452,False,True,0,1,chatgpt,3,1
